"Months.On.Production","API","Product.per.day..normalized.Oil","Product.per.day..normalized.Gas"
1,"4225534536",20.6,58.7
2,"4225534536",199.6,178.4
3,"4225534536",231.2,451.5
4,"4225534536",93,227.8
5,"4225534536",77.2,212.8
6,"4225534536",78.3,424.5
1,"4225532312",112,29
2,"4225532312",242.3,340.3
3,"4225532312",146.8,260
4,"4225532312",199.4,493
5,"4225532312",116.3,377.4
6,"4225532312",96.7,357.2
1,"4247941601",2,3203.7
2,"4247941601",2,2717.7
3,"4247941601",2,1948.5
4,"4247941601",2,2038.4
5,"4247941601",2,1767.1
6,"4247941601",2,1593.3
1,"4247941369",2,2527.5
2,"4247941369",2,2694.5
3,"4247941369",2,1984.1
4,"4247941369",2,1513.4
5,"4247941369",2,1214.2
6,"4247941369",2,1014
1,"4228732594",55.5,20
2,"4228732594",193.6,20
3,"4228732594",167.5,20
4,"4228732594",153.7,22.4
5,"4228732594",165.2,45.5
6,"4228732594",185.4,56.9
1,"4205133947",450.6,20
2,"4205133947",162.9,20
3,"4205133947",145.4,20
4,"4205133947",122.5,20
5,"4205133947",102.6,20
6,"4205133947",109.2,20
1,"4216334010",809.3,206.9
2,"4216334010",659.1,181.4
3,"4216334010",565.8,155.3
4,"4216334010",2.7,153.3
5,"4216334010",2.5,128.3
6,"4216334010",233.4,129.9
1,"4216334009",553.2,118.3
2,"4216334009",454.1,103.5
3,"4216334009",488.6,88.4
4,"4216334009",2.7,87.2
5,"4216334009",2.5,72.9
6,"4216334009",233.4,73.9
1,"4216333788",756.5,198.6
2,"4216333788",925.8,228.5
3,"4216333788",739.6,187.3
4,"4216333788",629.6,147
5,"4216333788",555.7,122.3
6,"4216333788",478.5,101
1,"4216333787",547.5,198.7
2,"4216333787",672.6,246.7
3,"4216333787",539.4,217.4
4,"4216333787",460.8,183.4
5,"4216333787",408.3,164.4
6,"4216333787",352.9,146.3
1,"4216333786",647.4,161.3
2,"4216333786",775.9,200
3,"4216333786",607.5,176
4,"4216333786",506.9,148.4
5,"4216333786",438.2,132.9
6,"4216333786",369.6,118.1
1,"4216333785",556.2,149.2
2,"4216333785",693.7,189.8
3,"4216333785",564.2,171.1
4,"4216333785",488.9,147.8
5,"4216333785",439.6,135.7
6,"4216333785",385.6,123.7
1,"4216333764",446,20
2,"4216333764",838.9,20
3,"4216333764",618.2,20
4,"4216333764",570.7,20
5,"4216333764",492.6,20
6,"4216333764",432.4,20
1,"4216333763",802.4,303.5
2,"4216333763",884.9,448.1
3,"4216333763",645.1,353.2
4,"4216333763",589.5,326.6
5,"4216333763",503.3,279.6
6,"4216333763",437.1,248.1
1,"4228732619",226.3,166
2,"4228732619",205.8,148.5
3,"4228732619",184.5,144.7
4,"4228732619",170.6,95.6
5,"4228732619",135,95.6
6,"4228732619",97.8,83
1,"4214933395",65,20
2,"4214933395",210.6,20
3,"4214933395",263.1,20
4,"4214933395",435.8,100.4
5,"4214933395",210,71.9
6,"4214933395",70.2,67.3
1,"4228334796",2,20
2,"4228334796",288.4,126.3
3,"4228334796",192,115.1
4,"4228334796",205.5,169
5,"4228334796",151.5,160.2
6,"4228334796",117.5,109.1
1,"4228334794",2,20
2,"4228334794",167.4,162.7
3,"4228334794",222.3,291.3
4,"4228334794",239.6,411.2
5,"4228334794",178,374.6
6,"4228334794",139.2,245
1,"4228334793",2,20
2,"4228334793",68,30.9
3,"4228334793",181.4,112.7
4,"4228334793",198.3,165.5
5,"4228334793",149.3,156.9
6,"4228334793",118.3,106.9
1,"4228333572",81.7,44.8
2,"4228333572",260.7,354.4
3,"4228333572",198.7,333.6
4,"4228333572",204.3,358.1
5,"4228333572",217.5,96.4
6,"4228333572",215.9,553.9
1,"4228334545",229.9,71.4
2,"4228334545",264.6,124.9
3,"4228334545",246.9,103.2
4,"4228334545",238.9,106.2
5,"4228334545",201.2,92.4
6,"4228334545",156,75.5
1,"4228334894",99.2,133.9
2,"4228334894",333.9,210
3,"4228334894",298.2,267.4
4,"4228334894",215,238.9
5,"4228334894",168.5,226
6,"4228334894",186.6,211.7
1,"4228333822",282.3,169.7
2,"4228333822",332.4,172.9
3,"4228333822",312.7,170.6
4,"4228333822",254.8,140
5,"4228333822",203.5,114.1
6,"4228333822",153.2,83.6
1,"4228334543",478.3,143.7
2,"4228334543",531.3,275.8
3,"4228334543",478.6,250
4,"4228334543",446.9,282.4
5,"4228334543",363.4,269.5
6,"4228334543",271.9,241.5
1,"4228333780",137.2,85.4
2,"4228333780",423.7,223.7
3,"4228333780",289.5,194.2
4,"4228333780",168,139.4
5,"4228333780",224.5,168.8
6,"4228333780",239.9,198.1
1,"4228333758",141.8,62
2,"4228333758",428.8,162.7
3,"4228333758",259.3,142.8
4,"4228333758",133.4,103.7
5,"4228333758",158.2,127
6,"4228333758",151.4,167.4
1,"4228334426",312.4,86.2
2,"4228334426",365.9,163.2
3,"4228334426",347.5,145.9
4,"4228334426",342.5,162.5
5,"4228334426",293.6,153
6,"4228334426",231.7,135.3
1,"4228333978",266.5,74.4
2,"4228333978",313.8,147.5
3,"4228333978",299.5,138.1
4,"4228333978",296.7,161.1
5,"4228333978",255.7,158.8
6,"4228333978",202.7,147
1,"4228333909",264.6,90.8
2,"4228333909",314.1,172.7
3,"4228333909",302.3,155
4,"4228333909",301.9,173.3
5,"4228333909",262.3,163.8
6,"4228333909",209.7,145.4
1,"4228333844",274.5,116.8
2,"4228333844",351.7,143
3,"4228333844",360.4,169.6
4,"4228333844",319.6,167.2
5,"4228333844",278.3,164.4
6,"4228333844",227.6,144
1,"4228333834",167.9,59.6
2,"4228333834",260.9,109.3
