"API","BOE_Prod_2yr","BOE_Prod_6mon","TOC","Permeability...d.","Brittleness","Porosity","Thickness","Vclay","TVD","Surf.Lat","Surf.Lon","Lateral..ft.","GPI","Proppant.per.GPI..lb.ft.","Fluid.per.GPI..gal.ft.","Total.Proppant.Volume","Total.Fluid","API.Gravity","Fluid.Type","On.Stream"
"4229735470",375171,132279.5,3.45,0.39,28.6,0.078,121,0.21,11061,28.75494,-98.1047,7580,7275,1496.907216,838.3267354,10890000,6098827,52,"XLINK",2017-10-01
"4229735433",203564.5,43116,3.36,0.36,29.1,0.076,118,0.21,11030,28.7626,-98.10198,6590,6078,1427.114182,643.2418559,8674000,3909624,53,"XLINK",2017-10-01
"4225534365",127874,40157.5,2.97,0.25,29.9,0.068,103,0.23,10986,28.83693,-98.06883,7602,6947,2356.700734,1194.0642,16372000,8295164,44.59999847,"XLINK",2017-02-01
"4225534926",51548.5,1902,3.74,0.38,24.9,0.082,128,0.3,10482,29.01584,-97.86242,5084,4764,2526.868178,2241.804366,12038000,10679956,40.20000076,"GEL",2017-01-01
"4231136436",142119,960,2.77,0.18,28.7,0.063,125,0.27,10232,28.56119,-98.58158,6906,6333,1675.66714,1514.828517,10612000,9593409,39,"SLKW",2016-12-01
"4231136438",39163.5,960,2.77,0.18,28.7,0.063,125,0.28,10227,28.56128,-98.58138,6873,6295,1652.74027,1552.352025,10404000,9772056,39,"SLKW",2016-12-01
"4212334016",279445.5,960,4.02,0.61,24.5,0.087,174,0.27,13099,29.03515,-97.61463,5861,5310,2050.847458,1154.283992,10890000,6129248,58.09999847,"XLINK",2016-12-01
"4231136437",92573,960,2.77,0.18,28.7,0.063,125,0.27,10228,28.56123,-98.58148,6848,6097,1642.119075,1556.197474,10012000,9488136,39,"SLKW",2016-12-01
"4212334015",271987,960,4.02,0.61,24.5,0.087,174,0.27,13101,29.03517,-97.61467,6011,5326,1969.207661,1112.167856,10488000,5923406,58.09999847,"XLINK",2016-12-01
"4201335370",195668.5,20619,2.79,0.22,30.3,0.064,118,0.25,10339,28.66016,-98.41229,7056,6898,1601.33372,1518.392433,11046000,10473871,39.79999924,"XLINK",2016-10-01
"4201335372",135928.5,22338,2.79,0.22,30.3,0.064,118,0.25,10334,28.66016,-98.4122,7495,7301,1577.866046,1557.071223,11520000,11368177,39.70000076,"XLINK",2016-09-01
"4201335371",125960,23602.5,2.79,0.22,30.3,0.064,118,0.25,10324,28.66016,-98.41216,7943,7688,1598.074922,1532.350676,12286000,11780712,39.09999847,"XLINK",2016-09-01
"4212736850",44355.5,6565.5,4.09,0.56,27.6,0.088,196,0.21,5598,28.3887,-100.02094,10248,9222,55.34200824,41.85881588,510364,386022,42.29999924,"XLINK",2016-09-01
"4212736851",36757,6565.5,4.09,0.56,27.6,0.088,196,0.21,5603,28.3887,-100.02088,10178,8350,2073.293413,1806.842156,17312000,15087132,42,"XLINK",2016-09-01
"4225534097",113870.5,0,2.58,0.17,30.2,0.059,119,0.29,8776,29.10401,-97.87513,5555,5659,1937.091359,1545.116098,10962000,8743812,37,"GEL",2016-08-01
