Date,Gas Price  ($/Mbtu)
1/15/1997,3.45
2/15/1997,2.15
3/15/1997,1.89
4/15/1997,2.03
5/15/1997,2.25
6/15/1997,2.2
7/15/1997,2.19
8/15/1997,2.49
9/15/1997,2.88
10/15/1997,3.07
11/15/1997,3.01
12/15/1997,2.35
1/15/1998,2.09
2/15/1998,2.23
3/15/1998,2.24
4/15/1998,2.43
5/15/1998,2.14
6/15/1998,2.17
7/15/1998,2.17
8/15/1998,1.85
9/15/1998,2.02
10/15/1998,1.91
11/15/1998,2.12
12/15/1998,1.72
1/15/1999,1.85
2/15/1999,1.77
3/15/1999,1.79
4/15/1999,2.15
5/15/1999,2.26
6/15/1999,2.3
7/15/1999,2.31
8/15/1999,2.8
9/15/1999,2.55
10/15/1999,2.73
11/15/1999,2.37
12/15/1999,2.36
1/15/2000,2.42
2/15/2000,2.66
3/15/2000,2.79
4/15/2000,3.04
5/15/2000,3.59
6/15/2000,4.29
7/15/2000,3.99
8/15/2000,4.43
9/15/2000,5.06
10/15/2000,5.02
11/15/2000,5.52
12/15/2000,8.9
1/15/2001,8.17
2/15/2001,5.61
3/15/2001,5.23
4/15/2001,5.19
5/15/2001,4.19
6/15/2001,3.72
7/15/2001,3.11
8/15/2001,2.97
9/15/2001,2.19
10/15/2001,2.46
11/15/2001,2.34
12/15/2001,2.3
1/15/2002,2.32
2/15/2002,2.32
3/15/2002,3.03
4/15/2002,3.43
5/15/2002,3.5
6/15/2002,3.26
7/15/2002,2.99
8/15/2002,3.09
9/15/2002,3.55
10/15/2002,4.13
11/15/2002,4.04
12/15/2002,4.74
1/15/2003,5.43
2/15/2003,7.71
3/15/2003,5.93
4/15/2003,5.26
5/15/2003,5.81
6/15/2003,5.82
7/15/2003,5.03
8/15/2003,4.99
9/15/2003,4.62
10/15/2003,4.63
11/15/2003,4.47
12/15/2003,6.13
1/15/2004,6.14
2/15/2004,5.37
3/15/2004,5.39
4/15/2004,5.71
5/15/2004,6.33
6/15/2004,6.27
7/15/2004,5.93
8/15/2004,5.41
9/15/2004,5.15
10/15/2004,6.35
11/15/2004,6.17
12/15/2004,6.58
1/15/2005,6.15
2/15/2005,6.14
3/15/2005,6.96
4/15/2005,7.16
5/15/2005,6.47
6/15/2005,7.18
7/15/2005,7.63
8/15/2005,9.53
9/15/2005,11.75
10/15/2005,13.42
11/15/2005,10.3
12/15/2005,13.05
1/15/2006,8.69
2/15/2006,7.54
3/15/2006,6.89
4/15/2006,7.16
5/15/2006,6.25
6/15/2006,6.21
7/15/2006,6.17
8/15/2006,7.14
9/15/2006,4.9
10/15/2006,5.85
11/15/2006,7.41
12/15/2006,6.73
1/15/2007,6.55
2/15/2007,8
3/15/2007,7.11
4/15/2007,7.6
5/15/2007,7.64
6/15/2007,7.35
7/15/2007,6.22
8/15/2007,6.22
9/15/2007,6.08
10/15/2007,6.74
11/15/2007,7.1
12/15/2007,7.11
1/15/2008,7.99
2/15/2008,8.54
3/15/2008,9.41
4/15/2008,10.18
5/15/2008,11.27
6/15/2008,12.69
7/15/2008,11.09
8/15/2008,8.26
9/15/2008,7.67
10/15/2008,6.74
11/15/2008,6.68
12/15/2008,5.82
1/15/2009,5.24
2/15/2009,4.52
3/15/2009,3.96
4/15/2009,3.5
5/15/2009,3.83
6/15/2009,3.8
7/15/2009,3.38
8/15/2009,3.14
9/15/2009,2.99
10/15/2009,4.01
11/15/2009,3.66
12/15/2009,5.35
1/15/2010,5.83
2/15/2010,5.32
3/15/2010,4.29
4/15/2010,4.03
5/15/2010,4.14
6/15/2010,4.8
7/15/2010,4.63
8/15/2010,4.32
9/15/2010,3.89
10/15/2010,3.43
11/15/2010,3.71
12/15/2010,4.25
1/15/2011,4.49
2/15/2011,4.09
3/15/2011,3.97
4/15/2011,4.24
5/15/2011,4.31
6/15/2011,4.54
7/15/2011,4.42
8/15/2011,4.06
9/15/2011,3.9
10/15/2011,3.57
11/15/2011,3.24
12/15/2011,3.17
1/15/2012,2.67
2/15/2012,2.51
3/15/2012,2.17
4/15/2012,1.95
5/15/2012,2.43
6/15/2012,2.46
7/15/2012,2.95
8/15/2012,2.84
9/15/2012,2.85
10/15/2012,3.32
11/15/2012,3.54
12/15/2012,3.34
1/15/2013,3.33
2/15/2013,3.33
3/15/2013,3.81
4/15/2013,4.17
5/15/2013,4.04
6/15/2013,3.83
7/15/2013,3.62
8/15/2013,3.43
9/15/2013,3.62
10/15/2013,3.68
11/15/2013,3.64
12/15/2013,4.24
1/15/2014,4.71
